Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
139,Bulimulus,Bulimulus,23841,23850,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
140,Bulimulus,Bulimulus,23851,23860,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
141,Bulimulus,Bulimulus,23861,23870,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
142,Bulimulus,Bulimulus,23871,23880,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
143,Bulimulus,Bulimulus,23882,23891,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
144,Bulimulus,Bulimulus,23892,23901,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
145,Bulimulus amastroides var.␤curtus,Bulimulus amastroides var. curtus,23902,23935,20.31,3,NO_ANNOT,,,PartialExact,0,"Bulimulus curtus (Reibisch, 1892)",Bulimulus curtus,43998,163,IUCN Red List of Threatened Species,
146,Keibischi    chemnitzioides.,Keibischi chemnitzioides,24020,24048,4.01,2,SP_NOV,,,NoMatch,,,,,,,,
147,Trochomorpha,Trochomorpha,24062,24074,6.08,1,NO_ANNOT,,,Exact,0,"Trochomorpha Albers, 1850",Trochomorpha,7PK2T,1,Catalogue of Life,
148,Conulus galapaganus,Conulus galapaganus,24102,24121,13.17,2,NO_ANNOT,,,Exact,0,"Conulus galapaganus Dall, 1893",Conulus galapaganus,XVW3,1,Catalogue of Life,
149,Pupa clausa,Pupa clausa,24134,24145,6.90,2,NO_ANNOT,,,Exact,0,"Pupa (Leucochila) clausa Reibisch, 1893",Pupa clausa,4QJBM,1,Catalogue of Life,
150,Succinea,Succinea,24146,24154,5.02,1,NO_ANNOT,,,Exact,0,"Succinea Draparnaud, 1801",Succinea,87HG8,1,Catalogue of Life,
151,Succinea,Succinea,24162,24170,5.02,1,NO_ANNOT,,,Exact,0,"Succinea Draparnaud, 1801",Succinea,87HG8,1,Catalogue of Life,
152,Succinea producta,Succinea producta,24179,24196,11.68,2,NO_ANNOT,,,PartialExact,0,"Succinea Draparnaud, 1801",Succinea,87HG8,1,Catalogue of Life,
153,Succinea corbis,Succinea corbis,24197,24212,10.26,2,NO_ANNOT,,,Exact,0,Succinea corbis,Succinea corbis,7963068,179,Open Tree of Life,
154,Leptinaria chathamensis.,Leptinaria chathamensis,24213,24237,12.84,2,NO_ANNOT,,,Exact,0,"Leptinaria chathamensis Dall, 1892",Leptinaria chathamensis,3TJPJ,1,Catalogue of Life,
155,Leptinaria,Leptinaria,24238,24248,5.02,1,NO_ANNOT,,,Exact,0,"Leptinaria Beck, 1837",Leptinaria,7P77Z,1,Catalogue of Life,
156,Helicina nesiotica,Helicina nesiotica,24252,24270,11.39,2,NO_ANNOT,,,Exact,0,"Helicina nesiotica Dall, 1892",Helicina nesiotica,3K7SM,1,Catalogue of Life,
157,Auricula stagualis,Auricula stagualis,24271,24289,6.66,2,NO_ANNOT,,,Fuzzy,1,"Auricula stagnalis d'Orbigny, 1835",Auricula stagnalis,urn:lsid:marinespecies.org:taxname:1469172,9,WoRMS,
158,Melampus trilineatus,Melampus trilineatus,24290,24310,13.87,2,NO_ANNOT,,,Exact,0,"Melampus trilineatus Adams, 1852",Melampus trilineatus,6QY37,1,Catalogue of Life,
159,Tralia pauameusis,Tralia pauameusis,24311,24328,6.44,2,NO_ANNOT,,,PartialExact,0,"Tralia Gray, 1840",Tralia,7PJRS,1,Catalogue of Life,
160,Pedipes angulatus,Pedipes angulatus,24329,24346,11.25,2,NO_ANNOT,,,Exact,0,"Pedipes angulatus C. B. Adams, 1852",Pedipes angulatus,75Y4D,1,Catalogue of Life,
161,Siphonaria gigas,Siphonaria gigas,24347,24363,7.89,2,NO_ANNOT,,,Exact,0,"Siphonaria gigas G. B. Sowerby I, 1825",Siphonaria gigas,4XPFB,1,Catalogue of Life,
